EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
-2,0,-1,0,-1,-1,0,0,2021-08-16 12:26:19.361504
0,-2,-1,-1,0,-1,0,-1,2021-08-16 12:26:19.363506
0,-1,-1,0,-1,-1,-1,-2,2021-08-16 12:26:19.363506
0,0,-1,-1,-2,-1,-1,0,2021-08-16 12:26:19.384480
-2,0,0,-1,-2,0,-1,-1,2021-08-16 12:26:19.384480
-2,-1,-2,0,0,-2,-1,0,2021-08-16 12:26:19.385483
-1,0,-2,0,-1,0,0,-1,2021-08-16 12:26:19.386478
0,0,-3,-1,1,-1,1,-2,2021-08-16 12:26:19.406507
0,-1,-3,-1,-1,0,-1,0,2021-08-16 12:26:19.406507
-1,0,1,-2,-2,-1,0,0,2021-08-16 12:26:19.422513
0,-1,0,-2,-1,1,-1,-1,2021-08-16 12:26:19.422513
-3,1,2,-1,-1,-3,-1,-1,2021-08-16 12:26:19.423478
0,-1,-2,-2,-2,0,0,-1,2021-08-16 12:26:19.423478
0,-1,-2,0,-2,-2,0,-2,2021-08-16 12:26:19.424478
-1,-3,-1,-1,-1,-3,-1,1,2021-08-16 12:26:19.424478
-1,-2,-2,-1,0,0,-1,-1,2021-08-16 12:26:19.444479
0,0,-2,1,-2,-1,1,-1,2021-08-16 12:26:19.444479
-1,0,-1,-2,-1,0,0,1,2021-08-16 12:26:19.445478
-2,0,0,-2,-1,-1,-1,0,2021-08-16 12:26:19.446478
-1,-2,0,0,0,0,-1,0,2021-08-16 12:26:19.458477
-1,0,1,0,-1,0,0,0,2021-08-16 12:26:19.458477
-1,1,-2,-2,-2,-1,0,-2,2021-08-16 12:26:19.466479
-2,0,-2,0,-1,-1,1,-1,2021-08-16 12:26:19.467478
0,0,-1,-1,0,-1,-2,-1,2021-08-16 12:26:19.481480
0,-1,-2,0,-2,0,-3,-2,2021-08-16 12:26:19.482479
-1,-1,0,-1,-1,-1,-1,-1,2021-08-16 12:26:19.483477
0,-1,-1,-1,-1,-1,-2,-2,2021-08-16 12:26:19.483477
0,-1,0,-1,-1,-1,-1,-2,2021-08-16 12:26:19.504477
-1,-2,-1,-1,-1,-2,-1,-1,2021-08-16 12:26:19.504477
-1,-1,0,-1,-1,0,-2,-1,2021-08-16 12:26:19.505478
-2,-1,-1,-3,-1,-1,0,0,2021-08-16 12:26:19.506478
-1,1,-1,0,-1,1,0,1,2021-08-16 12:26:19.517480
0,-2,0,-1,1,0,-1,0,2021-08-16 12:26:19.518478
0,-2,-1,-2,-2,-1,-3,0,2021-08-16 12:26:19.534522
-1,-1,0,-1,-1,1,0,-1,2021-08-16 12:26:19.534522
-1,0,-3,0,-2,-1,-1,-1,2021-08-16 12:26:19.541515
-1,-1,1,-1,-1,-1,-2,-1,2021-08-16 12:26:19.541515
0,1,-2,-1,-1,-2,0,-1,2021-08-16 12:26:19.543482
0,-1,-3,-1,-2,1,-2,-1,2021-08-16 12:26:19.543482
-1,-3,0,-2,-1,0,1,1,2021-08-16 12:26:19.564477
-1,-1,-2,-3,0,-1,-3,-2,2021-08-16 12:26:19.564477
-1,-3,1,-2,0,-2,0,0,2021-08-16 12:26:19.565478
0,0,-1,1,-3,-2,0,0,2021-08-16 12:26:19.566478
0,0,-1,0,-2,-1,-1,-2,2021-08-16 12:26:19.577477
-1,-1,-2,0,-1,0,0,-1,2021-08-16 12:26:19.578479
-2,-1,0,1,-1,0,1,-2,2021-08-16 12:26:19.587477
0,-1,0,-1,-2,-2,-2,-1,2021-08-16 12:26:19.587477
0,-2,1,-1,-2,-3,-1,-1,2021-08-16 12:26:19.601503
-1,1,-1,1,-2,0,-1,0,2021-08-16 12:26:19.601503
-2,-1,-1,0,-1,-2,0,1,2021-08-16 12:26:19.603498
-1,-2,0,-2,-1,-1,-1,-2,2021-08-16 12:26:19.603498
