Timestamp,Milliseconds,Angle,,
,,,,240 per second
,,,,
14:55.9,879390,30.01760237,,
,,,,
14:55.9,883367,30.28384312,,
,,,,
14:55.9,887365,30.28180453,,
,,,,
14:55.9,892388,30.88870426,,
,,,,
14:55.9,896363,31.17577733,,
,,,,
14:55.9,900363,31.33821183,,
,,,,
14:55.9,904364,31.21710006,,
,,,,
14:55.9,908364,31.45707943,,
,,,,
14:55.9,913364,31.28502864,,
,,,,
14:55.9,917363,31.71745363,,
,,,,
14:55.9,921363,31.89805937,,
,,,,
14:55.9,925363,32.08091471,,
,,,,
14:55.9,929363,32.61279323,,
,,,,
14:55.9,933363,32.19795212,,
,,,,
14:55.9,937364,32.70525112,,
,,,,
14:55.9,942363,33.22258446,,
,,,,
14:55.9,946363,32.92684972,,
,,,,
14:55.9,950363,33.27120926,,
,,,,
14:56.0,954363,33.41802183,,
,,,,
14:56.0,958364,33.76005373,,
,,,,
14:56.0,962363,33.47189839,,
,,,,
14:56.0,967363,33.53144093,,
,,,,
14:56.0,971363,33.43313099,,
,,,,
14:56.0,975363,33.88439129,,
,,,,
14:56.0,979363,34.02165321,,
,,,,
14:56.0,983363,34.32752694,,
,,,,
14:56.0,987363,34.44754598,,
,,,,
14:56.0,992363,34.43576233,,
,,,,
14:56.0,996364,34.4596981,,
,,,,
14:56.0,364,34.68547097,,
,,,,
14:56.0,4363,34.45918455,,
,,,,
14:56.0,8363,34.72088424,,
,,,,
14:56.0,12363,34.53071835,,
,,,,
14:56.0,17363,34.83842518,,
,,,,
14:56.0,21364,34.75652806,,
,,,,
14:56.0,25363,34.81674341,,
,,,,
14:56.0,29364,35.0578721,,
,,,,
14:56.0,33364,34.84762633,,
,,,,
14:56.0,37363,34.95910559,,
,,,,
14:56.0,42363,34.74940843,,
,,,,
14:56.0,46363,34.72606123,,
,,,,
14:56.1,50363,34.92008142,,
,,,,
14:56.1,54363,34.95578421,,
,,,,
14:56.1,58364,35.19411167,,
,,,,
14:56.1,63363,35.09757802,,
,,,,
14:56.1,67363,34.89821997,,
,,,,
14:56.1,71363,34.95125457,,
,,,,
14:56.1,75363,34.6751741,,
,,,,
14:56.1,79363,34.7639335,,
,,,,
14:56.1,83363,34.75695586,,
,,,,
14:56.1,87363,34.28163883,,
,,,,
14:56.1,92363,34.04491703,,
,,,,
14:56.1,96363,34.24143492,,
,,,,
14:56.1,100363,34.05985031,,
,,,,
14:56.1,104363,33.74098936,,
,,,,
14:56.1,108364,33.99792311,,
,,,,
14:56.1,112364,33.98807362,,
,,,,
14:56.1,117363,33.74378943,,
,,,,
14:56.1,121364,33.55027204,,
,,,,
14:56.1,125363,33.50869755,,
,,,,
14:56.1,129363,33.57981807,,
,,,,
14:56.1,133364,33.42954698,,
,,,,
14:56.1,137364,33.45773948,,
,,,,
14:56.1,142363,33.71120297,,
,,,,
14:56.1,146364,33.48234141,,
,,,,
14:56.1,150363,33.11074695,,
,,,,
14:56.2,154363,32.96309388,,
,,,,
14:56.2,158364,33.06682203,,
,,,,
14:56.2,162363,32.97599427,,
,,,,
14:56.2,167363,32.97860133,,
,,,,
14:56.2,171363,33.03710899,,
,,,,
14:56.2,175363,32.711558,,
,,,,
14:56.2,179363,32.38872189,,
,,,,
14:56.2,183363,32.19391474,,
,,,,
14:56.2,187363,32.13526208,,
,,,,
14:56.2,192363,32.25511706,,
,,,,
14:56.2,196364,32.0404676,,
,,,,
14:56.2,200363,31.83589812,,
,,,,
14:56.2,204365,31.64308464,,
,,,,
14:56.2,208364,31.23852031,,
,,,,
14:56.2,212364,31.00575211,,
,,,,
14:56.2,217363,30.78155379,,
,,,,
14:56.2,221364,30.27037239,,
,,,,
